symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2016-08-26 00:00:00+00:00,66.22,66.88,65.845,66.33,14038597,57.7226974851,58.2980067624,57.395817214,57.8185823647,14038597,0.0,1.0
JPM,2016-08-29 00:00:00+00:00,66.95,67.1,66.46,66.49,14580044,58.359024413,58.4897765215,57.9319008587,57.9580512804,14580044,0.0,1.0
JPM,2016-08-30 00:00:00+00:00,67.5,67.595,66.95,66.96,13791126,58.8384488107,58.9212584794,58.359024413,58.3677412203,13791126,0.0,1.0
JPM,2016-08-31 00:00:00+00:00,67.5,67.77,66.855,67.46,14952329,58.8384488107,59.073802606,58.2762147443,58.8035815818,14952329,0.0,1.0
JPM,2016-09-01 00:00:00+00:00,67.21,67.72,66.65,67.64,12226517,58.585661401,59.0302185698,58.0975201961,58.960484112,12226517,0.0,1.0
JPM,2016-09-02 00:00:00+00:00,67.49,67.575,66.98,67.4,13720662,58.8297320035,58.903824865,58.3851748347,58.7512807384,13720662,0.0,1.0
JPM,2016-09-06 00:00:00+00:00,67.44,67.55,66.71,67.5,16648771,58.7861479674,58.8820328469,58.1498210395,58.8384488107,16648771,0.0,1.0
JPM,2016-09-07 00:00:00+00:00,67.16,67.5901,66.96,67.16,10069882,58.5420773649,58.9169872439,58.3677412203,58.5420773649,10069882,0.0,1.0
JPM,2016-09-08 00:00:00+00:00,67.25,67.68,67.0,67.22,12252961,58.62052863,58.9953513409,58.4026084492,58.5943782083,12252961,0.0,1.0
JPM,2016-09-09 00:00:00+00:00,66.65,67.43,66.64,67.03,19686877,58.0975201961,58.7774311601,58.0888033889,58.4287588709,19686877,0.0,1.0
JPM,2016-09-12 00:00:00+00:00,67.06,67.3,65.76,66.14,16452983,58.4549092926,58.6641126661,57.3217243525,57.6529630273,16452983,0.0,1.0
JPM,2016-09-13 00:00:00+00:00,66.53,66.86,65.82,66.11,18876069,57.9929185093,58.2805731479,57.3740251959,57.6268126056,18876069,0.0,1.0
JPM,2016-09-14 00:00:00+00:00,66.4,67.245,66.21,66.27,12647520,57.8796000153,58.6161702263,57.7139806779,57.7662815213,12647520,0.0,1.0
JPM,2016-09-15 00:00:00+00:00,66.64,66.93,66.09,66.29,12639449,58.0888033889,58.3415907986,57.6093789911,57.7837151358,12639449,0.0,1.0
JPM,2016-09-16 00:00:00+00:00,65.82,66.26,65.44,66.09,25159813,57.3740251959,57.7575647141,57.0427865211,57.6093789911,25159813,0.0,1.0
JPM,2016-09-19 00:00:00+00:00,66.19,66.64,65.85,66.15,13466874,57.6965470635,58.0888033889,57.4001756176,57.6616798345,13466874,0.0,1.0
JPM,2016-09-20 00:00:00+00:00,66.46,66.85,66.24,66.75,10092057,57.9319008587,58.2718563407,57.7401310996,58.1846882684,10092057,0.0,1.0
JPM,2016-09-21 00:00:00+00:00,66.84,67.13,66.3099,66.84,14116774,58.2631395335,58.5159269432,57.8010615822,58.2631395335,14116774,0.0,1.0
JPM,2016-09-22 00:00:00+00:00,67.39,67.42,66.84,66.99,12780743,58.7425639312,58.7687143529,58.2631395335,58.393891642,12780743,0.0,1.0
JPM,2016-09-23 00:00:00+00:00,67.25,67.9,67.1766,67.39,13967357,58.62052863,59.1871211,58.5565472649,58.7425639312,13967357,0.0,1.0
JPM,2016-09-26 00:00:00+00:00,65.78,66.8,65.54,66.6,16408130,57.339157967,58.2282723046,57.1299545934,58.0539361599,16408130,0.0,1.0
JPM,2016-09-27 00:00:00+00:00,66.36,66.405,65.11,65.41,13711386,57.8447327864,57.8839584189,56.7551318825,57.0166360994,13711386,0.0,1.0
JPM,2016-09-28 00:00:00+00:00,66.71,66.77,65.9939,66.58,11272654,58.1498210395,58.2021218829,57.5256104736,58.0365025455,11272654,0.0,1.0
JPM,2016-09-29 00:00:00+00:00,65.65,67.21,65.35,66.7,18726692,57.225839473,58.585661401,56.964335256,58.1411042322,18726692,0.0,1.0
JPM,2016-09-30 00:00:00+00:00,66.59,67.06,66.08,66.08,21671372,58.0452193527,58.4549092926,57.6006621839,57.6006621839,21671372,0.0,1.0
JPM,2016-10-03 00:00:00+00:00,66.51,66.92,66.26,66.35,14898676,57.9754848949,58.3328739913,57.7575647141,57.8360159792,14898676,0.0,1.0
JPM,2016-10-04 00:00:00+00:00,66.6,67.18,66.1,66.21,17226890,58.472342907,58.9815615089,58.0333613537,58.1299372954,17226890,0.48,1.0
JPM,2016-10-05 00:00:00+00:00,67.69,68.07,66.8,66.89,16279971,59.4293226933,59.7629486739,58.6479355284,58.726952208,16279971,0.0,1.0
JPM,2016-10-06 00:00:00+00:00,67.87,67.97,67.05,67.73,17483910,59.5873560526,59.6751523632,58.8674263051,59.4644412176,17483910,0.0,1.0
JPM,2016-10-07 00:00:00+00:00,68.11,68.18,67.4,67.79,18496219,59.7980671982,59.8595246156,59.1747133924,59.517119004,18496219,0.0,1.0
JPM,2016-10-10 00:00:00+00:00,68.64,69.06,68.23,68.34,13027466,60.2633876447,60.6321321495,59.903422771,59.9999987127,13027466,0.0,1.0
JPM,2016-10-11 00:00:00+00:00,68.31,68.82,67.93,68.5,15657104,59.9736598195,60.4214210039,59.640033839,60.1404728098,15657104,0.0,1.0
JPM,2016-10-12 00:00:00+00:00,68.13,68.59,68.05,68.26,11899613,59.8156264603,60.2194894894,59.7453894118,59.9297616642,11899613,0.0,1.0
JPM,2016-10-13 00:00:00+00:00,67.74,67.87,66.82,67.46,17890046,59.4732208487,59.5873560526,58.6654947905,59.2273911788,17890046,0.0,1.0
JPM,2016-10-14 00:00:00+00:00,67.52,69.03,67.3,68.8,24162871,59.2800689652,60.6057932563,59.0869170817,60.4038617418,24162871,0.0,1.0
JPM,2016-10-17 00:00:00+00:00,67.17,67.79,66.735,67.42,14963411,58.9727818779,59.517119004,58.5908679264,59.1922726545,14963411,0.0,1.0
JPM,2016-10-18 00:00:00+00:00,67.7,68.21,67.54,67.85,11870286,59.4381023244,59.8858635088,59.2976282273,59.5697967904,11870286,0.0,1.0
JPM,2016-10-19 00:00:00+00:00,68.35,68.5,67.81,67.81,12705774,60.0087783438,60.1404728098,59.5346782662,59.5346782662,12705774,0.0,1.0
JPM,2016-10-20 00:00:00+00:00,68.26,68.68,67.94,68.08,14122005,59.9297616642,60.298506169,59.64881347,59.771728305,14122005,0.0,1.0
JPM,2016-10-21 00:00:00+00:00,68.49,68.53,67.7,67.81,12172607,60.1316931787,60.166811703,59.4381023244,59.5346782662,12172607,0.0,1.0
JPM,2016-10-24 00:00:00+00:00,68.87,69.05,68.495,68.97,10197123,60.4653191593,60.6233525185,60.1360829943,60.5531154699,10197123,0.0,1.0
JPM,2016-10-25 00:00:00+00:00,68.8,68.93,68.38,68.88,9945050,60.4038617418,60.5179969457,60.035117237,60.4740987903,9945050,0.0,1.0
JPM,2016-10-26 00:00:00+00:00,69.13,69.25,68.37,68.37,9792422,60.693589567,60.7989451398,60.0263376059,60.0263376059,9792422,0.0,1.0
JPM,2016-10-27 00:00:00+00:00,69.23,69.77,69.1,69.49,14210699,60.7813858777,61.2554859553,60.6672506738,61.0096562854,14210699,0.0,1.0
JPM,2016-10-28 00:00:00+00:00,69.11,69.55,68.465,69.53,12766498,60.6760303049,61.0623340718,60.1097441011,61.0447748097,12766498,0.0,1.0
JPM,2016-10-31 00:00:00+00:00,69.26,69.58,69.23,69.43,14336194,60.8077247709,61.088672965,60.7813858777,60.956978499,14336194,0.0,1.0
JPM,2016-11-01 00:00:00+00:00,68.97,69.78,68.33,69.48,15564491,60.5531154699,61.2642655864,59.9912190816,61.0008766544,15564491,0.0,1.0
JPM,2016-11-02 00:00:00+00:00,68.68,68.85,68.01,68.65,12449748,60.298506169,60.4477598971,59.7102708875,60.2721672758,12449748,0.0,1.0
JPM,2016-11-03 00:00:00+00:00,68.38,69.19,68.22,68.86,10369521,60.035117237,60.7462673534,59.8946431399,60.4565395282,10369521,0.0,1.0
JPM,2016-11-04 00:00:00+00:00,67.76,68.56,67.64,68.49,13571306,59.4907801108,60.1931505962,59.385424538,60.1316931787,13571306,0.0,1.0
JPM,2016-11-07 00:00:00+00:00,69.88,69.97,69.0,69.08,16515137,61.352061897,61.4310785767,60.5794543631,60.6496914117,16515137,0.0,1.0
JPM,2016-11-08 00:00:00+00:00,70.03,70.545,69.24,69.7,17529098,61.4837563631,61.935907363,60.7901655088,61.1940285378,17529098,0.0,1.0
JPM,2016-11-09 00:00:00+00:00,73.25,74.15,71.32,71.46,50948378,64.3107975667,65.1009643627,62.6163287707,62.7392436057,50948378,0.0,1.0
JPM,2016-11-10 00:00:00+00:00,76.65,77.25,74.22,74.22,56189465,67.2958721295,67.8226499935,65.1624217802,65.1624217802,56189465,0.0,1.0
JPM,2016-11-11 00:00:00+00:00,76.69,76.725,75.77,76.3,27574323,67.3309906538,67.3617193625,66.5232645956,66.9885850421,27574323,0.0,1.0
