symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ABB,2016-08-26 00:00:00+00:00,21.84,22.26,21.76,22.03,1455403,18.2029584667,18.5530153603,18.1362809632,18.3613175377,1455403,0.0,1.0
ABB,2016-08-29 00:00:00+00:00,21.91,21.935,21.8,21.81,930967,18.2613012823,18.2821380022,18.169619715,18.1779544029,930967,0.0,1.0
ABB,2016-08-30 00:00:00+00:00,21.76,21.91,21.71,21.88,987189,18.1362809632,18.2613012823,18.0946075235,18.2362972185,987189,0.0,1.0
ABB,2016-08-31 00:00:00+00:00,21.67,21.765,21.6001,21.72,940767,18.0612687717,18.1404483072,18.003009303,18.1029422114,940767,0.0,1.0
ABB,2016-09-01 00:00:00+00:00,22.07,22.1,21.59,21.64,2812286,18.3946562894,18.4196603533,17.9945912682,18.0362647079,2812286,0.0,1.0
ABB,2016-09-02 00:00:00+00:00,22.21,22.25,22.09,22.15,1922964,18.5113419206,18.5446806724,18.4113256653,18.461333793,1922964,0.0,1.0
ABB,2016-09-06 00:00:00+00:00,22.54,22.59,22.34,22.46,3144143,18.7863866227,18.8280600624,18.6196928639,18.7197091192,3144143,0.0,1.0
ABB,2016-09-07 00:00:00+00:00,22.6,22.68,22.54,22.63,1111553,18.8363947504,18.9030722539,18.7863866227,18.8613988142,1111553,0.0,1.0
ABB,2016-09-08 00:00:00+00:00,22.65,22.78,22.61,22.62,1836702,18.8780681901,18.9864191334,18.8447294383,18.8530641263,1836702,0.0,1.0
ABB,2016-09-09 00:00:00+00:00,22.17,22.58,22.17,22.57,1837843,18.4780031689,18.8197253745,18.4780031689,18.8113906866,1837843,0.0,1.0
ABB,2016-09-12 00:00:00+00:00,22.39,22.435,21.985,22.02,1940918,18.6613663036,18.6988723993,18.3238114419,18.3529828497,1940918,0.0,1.0
ABB,2016-09-13 00:00:00+00:00,22.24,22.48,22.12,22.41,2838682,18.5363459845,18.7363784951,18.4363297291,18.6780356795,2838682,0.0,1.0
ABB,2016-09-14 00:00:00+00:00,22.07,22.33,22.02,22.28,4370762,18.3946562894,18.6113581759,18.3529828497,18.5696847362,4370762,0.0,1.0
ABB,2016-09-15 00:00:00+00:00,22.25,22.31,22.0,22.05,1992771,18.5446806724,18.5946888,18.3363134738,18.3779869135,1992771,0.0,1.0
ABB,2016-09-16 00:00:00+00:00,21.95,22.06,21.8658,22.01,2274353,18.2946400341,18.3863216015,18.2244619616,18.3446481618,2274353,0.0,1.0
ABB,2016-09-19 00:00:00+00:00,21.98,22.12,21.95,21.99,1473921,18.3196440979,18.4363297291,18.2946400341,18.3279787859,1473921,0.0,1.0
ABB,2016-09-20 00:00:00+00:00,22.13,22.31,22.12,22.31,1306931,18.4446644171,18.5946888,18.4363297291,18.5946888,1306931,0.0,1.0
ABB,2016-09-21 00:00:00+00:00,22.51,22.52,22.2316,22.39,1450297,18.7613825589,18.7697172468,18.5293448466,18.6613663036,1450297,0.0,1.0
ABB,2016-09-22 00:00:00+00:00,22.81,22.88,22.75,22.85,1123251,19.0114231972,19.0697660128,18.9614150695,19.044761949,1123251,0.0,1.0
ABB,2016-09-23 00:00:00+00:00,22.65,22.79,22.615,22.69,1936831,18.8780681901,18.9947538213,18.8488967823,18.9114069419,1936831,0.0,1.0
ABB,2016-09-26 00:00:00+00:00,22.5,22.61,22.49,22.6,1202866,18.753047871,18.8447294383,18.744713183,18.8363947504,1202866,0.0,1.0
ABB,2016-09-27 00:00:00+00:00,22.49,22.525,22.275,22.31,1232664,18.744713183,18.7738845908,18.5655173923,18.5946888,1232664,0.0,1.0
ABB,2016-09-28 00:00:00+00:00,22.7,22.71,22.43,22.49,1634329,18.9197416298,18.9280763178,18.6947050554,18.744713183,1634329,0.0,1.0
ABB,2016-09-29 00:00:00+00:00,22.38,22.6,22.285,22.49,2525502,18.6530316156,18.8363947504,18.5738520802,18.744713183,2525502,0.0,1.0
ABB,2016-09-30 00:00:00+00:00,22.51,22.545,22.27,22.28,2473389,18.7613825589,18.7905539667,18.5613500483,18.5696847362,2473389,0.0,1.0
ABB,2016-10-03 00:00:00+00:00,22.52,22.66,22.48,22.58,1491453,18.7697172468,18.886402878,18.7363784951,18.8197253745,1491453,0.0,1.0
ABB,2016-10-04 00:00:00+00:00,22.57,22.74,22.5,22.62,1926776,18.8113906866,18.9530803816,18.753047871,18.8530641263,1926776,0.0,1.0
ABB,2016-10-05 00:00:00+00:00,22.76,22.79,22.59,22.66,1265594,18.9697497575,18.9947538213,18.8280600624,18.886402878,1265594,0.0,1.0
ABB,2016-10-06 00:00:00+00:00,22.88,22.92,22.79,22.88,1263961,19.0697660128,19.1031047646,18.9947538213,19.0697660128,1263961,0.0,1.0
ABB,2016-10-07 00:00:00+00:00,22.72,22.893,22.575,22.88,1784117,18.9364110057,19.0806011071,18.8155580305,19.0697660128,1784117,0.0,1.0
ABB,2016-10-10 00:00:00+00:00,22.78,22.865,22.765,22.8,1075169,18.9864191334,19.0572639809,18.9739171014,19.0030885092,1075169,0.0,1.0
ABB,2016-10-11 00:00:00+00:00,22.37,22.72,22.295,22.71,2284517,18.6446969277,18.9364110057,18.5821867681,18.9280763178,2284517,0.0,1.0
ABB,2016-10-12 00:00:00+00:00,22.39,22.44,22.29,22.38,996477,18.6613663036,18.7030397433,18.5780194242,18.6530316156,996477,0.0,1.0
ABB,2016-10-13 00:00:00+00:00,22.25,22.329,22.05,22.09,1531310,18.5446806724,18.6105247071,18.3779869135,18.4113256653,1531310,0.0,1.0
ABB,2016-10-14 00:00:00+00:00,22.34,22.495,22.33,22.41,1110586,18.6196928639,18.748880527,18.6113581759,18.6780356795,1110586,0.0,1.0
ABB,2016-10-17 00:00:00+00:00,22.33,22.415,22.285,22.33,1019594,18.6113581759,18.6822030234,18.5738520802,18.6113581759,1019594,0.0,1.0
ABB,2016-10-18 00:00:00+00:00,22.45,22.5,22.32,22.4,1597192,18.7113744312,18.753047871,18.603023488,18.6697009915,1597192,0.0,1.0
ABB,2016-10-19 00:00:00+00:00,22.45,22.52,22.4,22.41,2931201,18.7113744312,18.7697172468,18.6697009915,18.6780356795,2931201,0.0,1.0
ABB,2016-10-20 00:00:00+00:00,22.37,22.449,22.285,22.33,1402920,18.6446969277,18.7105409625,18.5738520802,18.6113581759,1402920,0.0,1.0
ABB,2016-10-21 00:00:00+00:00,22.35,22.36,22.2,22.21,1717003,18.6280275518,18.6363622398,18.5030072327,18.5113419206,1717003,0.0,1.0
ABB,2016-10-24 00:00:00+00:00,22.29,22.39,22.21,22.32,1274787,18.5780194242,18.6613663036,18.5113419206,18.603023488,1274787,0.0,1.0
ABB,2016-10-25 00:00:00+00:00,22.12,22.17,22.06,22.13,1714931,18.4363297291,18.4780031689,18.3863216015,18.4446644171,1714931,0.0,1.0
ABB,2016-10-26 00:00:00+00:00,22.08,22.23,22.08,22.22,1548173,18.4029909774,18.5280112965,18.4029909774,18.5196766086,1548173,0.0,1.0
ABB,2016-10-27 00:00:00+00:00,20.53,20.745,20.4907,20.7,5638944,17.1111143463,17.290310137,17.0783590226,17.2528040413,5638944,0.0,1.0
ABB,2016-10-28 00:00:00+00:00,20.62,20.63,20.46,20.49,3182251,17.1861265377,17.1944612257,17.0527715307,17.0777755945,3182251,0.0,1.0
ABB,2016-10-31 00:00:00+00:00,20.65,20.67,20.55,20.6,2119448,17.2111306016,17.2277999775,17.1277837221,17.1694571619,2119448,0.0,1.0
ABB,2016-11-01 00:00:00+00:00,20.52,20.64,20.45,20.63,2001562,17.1027796583,17.2027959136,17.0444368427,17.1944612257,2001562,0.0,1.0
ABB,2016-11-02 00:00:00+00:00,20.45,20.58,20.44,20.46,1426690,17.0444368427,17.152787786,17.0361021548,17.0527715307,1426690,0.0,1.0
ABB,2016-11-03 00:00:00+00:00,20.43,20.6001,20.4,20.6,1491576,17.0277674668,17.1695405087,17.002763403,17.1694571619,1491576,0.0,1.0
ABB,2016-11-04 00:00:00+00:00,20.4,20.565,20.31,20.41,1621035,17.002763403,17.1402857541,16.9277512115,17.0110980909,1621035,0.0,1.0
ABB,2016-11-07 00:00:00+00:00,20.89,20.9,20.8,20.85,1262003,17.4111631122,17.4194978001,17.3361509207,17.3778243604,1262003,0.0,1.0
ABB,2016-11-08 00:00:00+00:00,20.9,20.92,20.65,20.65,1856709,17.4194978001,17.436167176,17.2111306016,17.2111306016,1856709,0.0,1.0
ABB,2016-11-09 00:00:00+00:00,21.27,21.37,20.995,21.09,3167096,17.727881254,17.8112281334,17.4986773356,17.577856871,3167096,0.0,1.0
ABB,2016-11-10 00:00:00+00:00,21.36,21.41,21.09,21.19,3434556,17.8028934455,17.8445668852,17.577856871,17.6612037505,3434556,0.0,1.0
ABB,2016-11-11 00:00:00+00:00,21.38,21.43,21.16,21.4,2081577,17.8195628214,17.8612362611,17.6361996866,17.8362321973,2081577,0.0,1.0
ABB,2016-11-14 00:00:00+00:00,21.16,21.18,21.02,21.07,1901540,17.6361996866,17.6528690625,17.5195140554,17.5611874952,1901540,0.0,1.0
ABB,2016-11-15 00:00:00+00:00,21.22,21.22,20.9138,20.92,2534390,17.6862078143,17.6862078143,17.4309996695,17.436167176,2534390,0.0,1.0
ABB,2016-11-16 00:00:00+00:00,20.88,21.08,20.865,21.01,1388856,17.4028284243,17.5695221831,17.3903263923,17.5111793675,1388856,0.0,1.0
ABB,2016-11-17 00:00:00+00:00,20.9,21.0,20.86,20.94,1174298,17.4194978001,17.5028446796,17.3861590484,17.4528365519,1174298,0.0,1.0
ABB,2016-11-18 00:00:00+00:00,20.69,20.735,20.61,20.63,1775124,17.2444693533,17.2819754491,17.1777918498,17.1944612257,1775124,0.0,1.0
ABB,2016-11-21 00:00:00+00:00,20.68,20.75,20.625,20.66,1699854,17.2361346654,17.294477481,17.1902938817,17.2194652895,1699854,0.0,1.0
ABB,2016-11-22 00:00:00+00:00,20.75,20.78,20.635,20.77,1904282,17.294477481,17.3194815448,17.1986285697,17.3111468569,1904282,0.0,1.0
ABB,2016-11-23 00:00:00+00:00,20.59,20.62,20.48,20.5,1699752,17.1611224739,17.1861265377,17.0694409065,17.0861102824,1699752,0.0,1.0
ABB,2016-11-25 00:00:00+00:00,20.7,20.71,20.6,20.61,678490,17.2528040413,17.2611387292,17.1694571619,17.1777918498,678490,0.0,1.0
ABB,2016-11-28 00:00:00+00:00,20.4,20.53,20.39,20.48,1053016,17.002763403,17.1111143463,16.9944287151,17.0694409065,1053016,0.0,1.0
